"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.419856300E-1,-9.211691022E-1,7.516596317E0,9.063250542E0
5.439875050E-1,-5.907692909E-1,7.526173115E0,8.866926193E0
5.459893800E-1,-2.124854028E-1,7.588422298E0,8.450334549E0
5.479912550E-1,-1.616086066E-2,7.583633900E0,8.028955460E0
5.499931300E-1,3.669114113E-1,7.631517887E0,7.459135532E0
5.519950050E-1,4.674678743E-1,7.550115108E0,7.095216751E0
5.539968800E-1,3.860650361E-1,7.310694695E0,6.798335552E0
5.559987550E-1,3.956418335E-1,7.181407928E0,6.525396824E0
5.580006300E-1,2.424129248E-1,6.980295181E0,6.357802391E0
5.600025050E-1,1.370680481E-1,6.788758755E0,6.271611214E0
5.620043800E-1,8.918401599E-2,6.712144375E0,6.113594055E0
5.640062550E-1,6.524199992E-2,6.740874767E0,5.835866451E0
5.660081300E-1,-8.798690885E-2,6.798335552E0,5.653907299E0
5.680100050E-1,-1.837549806E-1,6.874950409E0,5.424064159E0
5.700118800E-1,-2.029085904E-1,6.970718384E0,5.222950935E0
5.720137550E-1,-2.220622003E-1,7.013813972E0,4.983530998E0
5.740156300E-1,-2.986766696E-1,6.989871979E0,4.954800606E0
5.760175050E-1,-4.902127981E-1,6.879738808E0,5.112817764E0
5.780193800E-1,-5.476736426E-1,6.783970356E0,5.175066948E0
5.800212550E-1,-6.482301354E-1,6.664260387E0,5.242104530E0
5.820231300E-1,-7.679402232E-1,6.534973621E0,5.318718910E0
5.840250050E-1,-8.637082577E-1,6.434417248E0,5.433640957E0
5.860268800E-1,-9.738415480E-1,6.257246017E0,5.529408932E0
5.880287550E-1,-1.016937137E0,6.127959251E0,5.567716122E0
5.900306300E-1,-1.074398041E0,6.065710068E0,5.711368084E0
5.920325050E-1,-1.093551636E0,5.989095688E0,5.759252071E0
5.940343800E-1,-1.141435623E0,5.936423302E0,5.969942093E0
5.960362550E-1,-1.203684926E0,5.835866451E0,6.113594055E0
5.980381300E-1,-1.251568913E0,5.855020046E0,6.281188011E0
6.000400050E-1,-1.361702204E0,5.888539314E0,6.410475254E0
6.020418800E-1,-1.467047095E0,5.979518890E0,6.568492413E0
6.040437550E-1,-1.490989089E0,6.070498466E0,6.597222805E0
6.060456300E-1,-1.543661594E0,6.151901245E0,6.712144375E0
6.080475050E-1,-1.581968784E0,6.199785233E0,6.716932774E0
6.100493800E-1,-1.615487576E0,6.305130005E0,6.740874767E0
6.120512550E-1,-1.644217968E0,6.324283600E0,6.731297970E0
6.140531300E-1,-1.620275974E0,6.357802391E0,6.697779179E0
6.160550050E-1,-1.663371682E0,6.343437195E0,6.793547153E0
6.180568800E-1,-1.538873196E0,6.386533260E0,6.822277546E0
6.200587550E-1,-1.414374709E0,6.424840450E0,6.736086369E0
6.220606300E-1,-1.232415318E0,6.415263653E0,6.769605160E0
6.240625050E-1,-1.026513934E0,6.376956463E0,6.841431141E0
6.260643800E-1,-7.679402232E-1,6.381744862E0,6.946776390E0
6.280662550E-1,-4.806360006E-1,6.357802391E0,6.970718384E0
6.300681300E-1,-2.029085904E-1,6.324283600E0,6.913257599E0
6.320700050E-1,3.651157767E-2,6.357802391E0,6.788758755E0
6.340718800E-1,2.424129248E-1,6.376956463E0,6.587646008E0
6.360737550E-1,4.387374520E-1,6.458359241E0,6.372167587E0
6.380756300E-1,5.823895931E-1,6.568492413E0,6.242880821E0
6.400775050E-1,7.020996213E-1,6.688202381E0,6.171054840E0
6.420793800E-1,7.404068708E-1,6.764816761E0,6.094440460E0
6.440812550E-1,7.164648771E-1,6.894104004E0,6.070498466E0
6.460831300E-1,6.494272351E-1,6.999448776E0,6.104017258E0
6.480850050E-1,5.488707423E-1,7.095216751E0,6.147112846E0
6.500868800E-1,4.147954583E-1,7.190984726E0,6.204573631E0
6.520887550E-1,3.238157928E-1,7.286752701E0,6.247669220E0
6.540906300E-1,1.657984704E-1,7.329848289E0,6.281188011E0
6.560925050E-1,-1.795651275E-3,7.372944355E0,6.927622795E0
6.580943800E-1,-4.902127981E-1,7.459135532E0,8.469488144E0
6.600962550E-1,-1.036090732E0,7.674613476E0,9.269151688E0
6.620981300E-1,-4.662707746E-1,7.645883083E0,7.827842236E0
6.641000050E-1,6.398503780E-1,7.411251545E0,6.084863663E0
6.661018800E-1,1.214458823E0,7.387309551E0,5.400122166E0
6.681037550E-1,1.180940032E0,7.492654324E0,5.524620533E0
6.701056300E-1,8.553285599E-1,7.684190273E0,5.993884087E0
6.721075050E-1,6.398503780E-1,7.732074261E0,6.223727226E0
6.741093800E-1,5.967547894E-1,7.722497463E0,6.013037682E0
6.761112550E-1,5.776011348E-1,7.732074261E0,5.677849293E0
6.781131300E-1,5.392939448E-1,7.751227856E0,5.519832134E0
6.801150050E-1,5.440823436E-1,7.732074261E0,5.562927723E0
6.821168800E-1,4.483142793E-1,7.717709064E0,5.577292919E0
6.841187550E-1,3.908534348E-1,7.693767071E0,5.548562527E0
6.861206300E-1,5.009866953E-1,7.650671482E0,5.586869717E0
6.881225050E-1,5.680243373E-1,7.612364292E0,5.673060894E0
6.901244320E-1,6.302735806E-1,7.602787495E0,5.802347660E0
6.921263590E-1,7.739257216E-1,7.593210697E0,5.989095688E0
6.941282860E-1,9.223662019E-1,7.535749912E0,6.161478043E0
6.961302130E-1,1.051653147E0,7.459135532E0,6.357802391E0
6.981321400E-1,1.118690729E0,7.358579159E0,6.578069210E0
7.001340670E-1,1.171363235E0,7.301117897E0,6.769605160E0
7.021359940E-1,1.171363235E0,7.238868713E0,6.970718384E0
7.041379210E-1,1.171363235E0,7.162254333E0,7.152677536E0
7.061398490E-1,1.180940032E0,7.071274757E0,7.281964302E0
7.081417760E-1,1.166574836E0,6.932411194E0,7.372944355E0
